line_no,is_ainu_line,num_tokens,ngram_size,num_ngrams,num_pred_target_ngrams,num_pred_non_target_ngrams,non_target_labels_set,non_target_ngram_samples,text
146,True,17,2,16,16,0,,,orano mintar or ka mun sak no pirkano an =an kuni ne cise okari muni a= kar.
147,True,8,2,7,7,0,,,"nep aeyayramekotep ne yakka okay pe ne kusu,"
148,True,7,2,6,6,0,,,cise onnay un... ka pirkano a= kar.
149,True,15,2,14,14,0,,,"cise okari ka mun_ sak no a= kar wa pirkano an =an kuni ne h_ike,"
150,True,8,2,7,7,0,,,"nay or un ka pirkano sirotuye =an wa,"
151,True,7,2,6,6,0,,,"orowa pirkano sirotuye =an, sepno ki wa,"
152,True,15,2,14,14,0,,,nay or un ka sirkerkeri =an wa mun sak no a= kar wa an =an.
153,True,9,2,8,8,0,,,"orano nen i= epakasnu somo ki p ne korka,"
154,True,10,2,9,9,0,,,"cise okari nep mun ne ruwe ne ya oka wa,"
155,True,13,2,12,12,0,,,"a= kar wa a= supa wa a= e wa keraan h_ike a= e,"
156,True,5,2,4,4,0,,,"kera isam h_ike a= osurpa,"
157,True,5,2,4,4,0,,,"pirka h_ike a= e kor,"
158,True,7,2,6,6,0,,,"sirsak kor orano newaoka parka ta oka,"
159,True,15,2,14,14,0,,,"nep ne ruwe ne ya a= eramiskari pa p a= rapte wa wor a= omare,"
160,True,5,2,4,4,0,,,a= huraypa wa nea ...
161,True,16,2,15,15,0,,,newaoka kina ne ya a= kopoye wa a= supa wa a= e kor an =an ayne
162,True,9,2,8,8,0,,,"tantane pon poro =an nennen ruwe ne a p,"
163,True,9,2,8,8,0,,,"esoyne aynu humas kus soyne =an ruwe ne akus,"
164,True,3,2,2,2,0,,,hure kosonte utomciwre
165,True,8,2,7,7,0,,,"okkaypo sekor a= ye p ne noyne an,"
166,True,6,2,5,5,0,,,"aynu nukar ka a= eramiskari p,"
167,True,14,2,13,13,0,,,"okkaypo sekor a= ye p ne noyne an okkaypo soy ta an h_i kusu,"
168,True,15,2,14,14,0,,,"nep ka a= ye somo ki no ahun =an h_ine an =an ruwe ne akus,"
169,True,7,2,6,6,0,,,i= os ahun h_ine i= erankarap ru.
170,True,12,2,11,11,0,,,"korka aynu nukar ka a= eramiskari p ne korka i= erankarap yakka,"
171,True,7,2,6,6,0,,,ene a= ramu h_i ka isam no
172,True,10,2,9,9,0,,,"an =an hine ora suke =an h_ine a= ipere akusu,"
173,True,7,2,6,6,0,,,"i= kasuy ipe hine rewsi =an akusu,"
174,True,11,2,10,10,0,,,"ora neun ka arpa p ne kunak a= ramu a p,"
175,True,7,2,6,6,0,,,neun ka arpa ka somo ki no
176,True,2,2,1,1,0,,,"ekimne akusu,"
177,True,8,2,7,7,0,,,"ora nep ne ruwe ne se wa iwak,"
178,True,11,2,10,10,0,,,"""tap anak yuk sekor a= ye p ne ruwe ne wa,"
179,True,13,2,12,12,0,,,"tap neno a= kar wa a= supa wa a= e p ne na."""
180,True,3,2,2,2,0,,,"sekor hawean kor,"
181,True,7,2,6,6,0,,,ene a= supa kuni i= epakasnu hine
182,True,6,2,5,5,0,,,supa hine i= ere akusu keraan.
183,True,12,2,11,11,0,,,tanepo pirka ipe a= ki p ne kus keraan hine ipe =an.
184,True,8,2,7,7,0,,,"orano neun ka arpa ka somo ki no,"
185,True,4,2,3,3,0,,,"orano neno ekimne kor,"
186,True,9,2,8,8,0,,,"yuk ne ciki kamuy ne ciki nuwe koan wa,"
187,True,6,2,5,5,0,,,"""tap neno kamuy anak a= hopunpare."
188,True,8,2,7,7,0,,,tap anak yuk sekor a= ye p ne.
189,True,4,2,3,3,0,,,tap neno a= hopunpare.
190,True,13,2,12,12,0,,,"isepo ka cironnup ka tap neno tap neno a= hopunpare p ne na."""
191,True,8,2,7,7,0,,,sekor hawean kor i= epakasnu kor oka =an.
192,True,8,2,7,7,0,,,ora aynu ene iki pa kuni i= epakasnu.
193,True,9,2,8,8,0,,,nen a= nukar ka somo ki p ne ka
194,True,12,2,11,11,0,,,"a= sapaha kar_ ne ya a= nanuhu kar_ ne ya ki wa,"
195,True,5,2,4,4,0,,,"aynu ene iki pa kuni,"
196,True,11,2,10,10,0,,,"""aynu anak tap neno tap neno iki pa p ne na."""
197,True,11,2,10,10,0,,,sekor hawean kor i= epakasnu kor orano oka =an ruwe ne.
198,True,9,2,8,8,0,,,"pak ison kur isam kur_ ne p ne kusu,"
199,True,8,2,7,7,0,,,"nep a= e rusuy ka somo ki no,"
200,True,5,2,4,4,0,,,"hoka unno kirpu orastomnemne korka,"
201,True,11,2,10,10,0,,,"aynu ne ruwe he ne ya nep ne ruwe ne ya,"
202,True,13,2,12,12,0,,,"mipihi yakka somo ki no ramma uneno kane mipihi an pe ne korka,"
203,True,15,2,14,14,0,,,"nen ka i= ye hene i= kar hene ki ka somo ki p ne kus,"
204,True,6,2,5,5,0,,,"a= sitoma ka somo ki no,"
205,True,10,2,9,9,0,,,"a= yupi kor kur an =an pe ne a p,"
206,True,20,2,19,19,0,,,"a= yupi kor kur_ ne y_ak ye p ne kusu ki kor oka =an pe ne ruwe ne a p,"
207,True,6,2,5,5,0,,,"sineanta, tane sitcuk kopak an h_ine,"
208,True,5,2,4,4,0,,,"rapokke sineanto sini hine ora,"
209,True,11,2,10,10,0,,,"""a= kor pon menoko, somo i= ewtanne rusuy ruwe h_e an?"""
210,True,3,2,2,2,0,,,"sekor hawean korka,"
211,True,11,2,10,10,0,,,nep ka a= ye ka somo ki no soyne =an akus
212,True,14,2,13,13,0,,,okake ta ay kar kor an hawe an ne a p soyne =an hine
213,True,5,2,4,4,0,,,nina =an hine nisike =an.
214,True,11,2,10,10,0,,,"re pa ka an kor ora hawean ne p ne kusu,"
215,True,6,2,5,5,0,,,nisike =an h_ine hosipi =an ...
216,True,10,2,9,9,0,,,"ponno upas … ponno ponno upas as as kane hine,"
217,True,8,2,7,7,0,,,"nea i= ekari hure poro seta hoyupu, ek"
218,True,10,2,9,9,0,,,orano i= okari mik kor i= okari earkinne a= eohaysitoma
219,True,9,2,8,8,0,,,"seta ka nep ka isam pe ne a p,"
220,True,8,2,7,7,0,,,"""hinak wa ek seta ene iki h_i an?"""
221,True,3,2,2,2,0,,,sekor yaynu =an.
222,True,6,2,5,5,0,,,"""aynu ne yaykar wa ne ya?"""
223,True,6,2,5,5,0,,,sekor kewtum or_ ta yaynu =an.
224,True,6,2,5,5,0,,,"seta ka nep ka isam pe,"
225,True,7,2,6,6,0,,,"konto sikrapparappa =an akusu oar isam h_ine,"
226,True,9,2,8,8,0,,,"oraun cise soy ta ek =an ruwe ne akusu,"
227,True,7,2,6,6,0,,,sem apapa ta seta ru sitcininanina korka
228,True,7,2,6,6,0,,,"ora ekuskonna ahun ka a= etoranne kusu,"
229,True,9,2,8,8,0,,,hine ora ipuyaroposore =an akusu ay kar kor an.
230,True,9,2,8,8,0,,,"suy aynu ne hine ki kor an h_i kusu,"
231,True,8,2,7,7,0,,,ora soy ta a= nisike a= esirkopaste hine
232,True,16,2,15,15,0,,,"nep ka a= ye a= ye pekor hawean =an kor an =an ayne ahun =an korka,"
233,True,10,2,9,9,0,,,"a= sitoma katun ki ka ... yakka wen wa kusu,"
234,True,11,2,10,10,0,,,a= sitoma katun ki ka somo ki no ora suke =an.
235,True,5,2,4,4,0,,,nen ka suy ipe =an.
236,True,5,2,4,4,0,,,orowa kuneywa ekimne hine isam.
237,True,10,2,9,9,0,,,ekimne hine isam ruwe ne. okake ta an =an akusu
238,True,11,2,10,10,0,,,"tononoski paki peka esoyne aynu hum as kusu soyne =an akus,"
239,True,13,2,12,12,0,,,konto tanpe or_ ta anak aynu sekor a= ye p ne noyne an
240,True,14,2,13,13,0,,,"okkaypo ka utarpake sekor a= ye p ne noyne okkaypo, soy ta an h_ine,"
241,True,10,2,9,9,0,,,"ora nep ka ye somo ki no ahun =an akus,"
242,True,9,2,8,8,0,,,"i= os ahun h_ine i= erankarap ruwe ne hine,"
243,True,5,2,4,4,0,,,"ora i= kowepekennu hi kus,"
244,True,15,2,14,14,0,,,"""tapne kane aynu ne ruwe he ne ya nep ne ruwe ne ya a= erampewtek,"
245,True,6,2,5,5,0,,,"hure kosonte utomciwre okkaypo ek wa,"
246,True,8,2,7,7,0,,,"tane re pa ka turano an =an korka,"
247,True,8,2,7,7,0,,,"nen ka i= ye ka somo ki no,"
248,True,7,2,6,6,0,,,aynu ene iki pa kuni i= epakasnu.
249,True,8,2,7,7,0,,,a= nanuhu ka kar a= sapaha ka kar.
250,True,16,2,15,15,0,,,"sorekusu ne ene iki wa an pe a= ne ru an h_i ka a= erampewtek no,"
251,True,11,2,10,10,0,,,so noski pakno tumun an wa soy a= o ne ya
252,True,9,2,8,8,0,,,sintoko ne ya soy a= o wa a= huraypa.
253,True,16,2,15,15,0,,,"ene teeta o ikiri an h_i neno a= kar wa an =an wa an =an akus,"
254,True,8,2,7,7,0,,,"oro ta ahun h_ine an pe ne h_ine,"
255,True,7,2,6,6,0,,,"tane re pa ka an a p,"
256,True,4,2,3,3,0,,,"numan ne sini hine,"
257,True,7,2,6,6,0,,,'uewtanne =an ciki mak ne ruwe an?'
258,True,3,2,2,2,0,,,"sekor hawean korka,"
259,True,8,2,7,7,0,,,"tasaitak =an h_ene ki ka somo ki no,"
260,True,7,2,6,6,0,,,ora nina =an kusu soyne =an h_ine
261,True,9,2,8,8,0,,,"nina =an h_ine a= se h_ine iwak =an akus,"
262,True,6,2,5,5,0,,,"seta ka nep ka isam pe,"
263,True,6,2,5,5,0,,,"poro hure seta i= ekari arpa,"
264,True,7,2,6,6,0,,,orano i= ekari i= emik kor terketerke.
265,True,8,2,7,7,0,,,ne rapokkehe ponno sikrapparappa =an h_e ki akusu
266,True,3,2,2,2,0,,,"oar isam h_ine,"
267,True,14,2,13,13,0,,,"oraun ek =an akus upas ka ta nep ne kusu seta ru sitcininanina h_ine,"
268,True,12,2,11,11,0,,,ek =an akus sem or_ ta ka seta ru an yakun anakne
269,True,10,2,9,9,0,,,aynu ne ru somo ne kuni a= ramu h_i kusu
270,True,10,2,9,9,0,,,"oraun ahun =an ka nisap ahun ka a= etoranne kus,"
271,True,6,2,5,5,0,,,"ay kar kor an pe kus,"
272,True,11,2,10,10,0,,,"soy ta nep ka a= ye a= ye pekor hawean kor,"
273,True,13,2,12,12,0,,,"ni a= esirkopaste hine a= ki kor an =an ayne ahun =an korka,"
274,True,8,2,7,7,0,,,"a= sitoma katun ki yakka wen wa kus,"
275,True,11,2,10,10,0,,,"a= sitoma katun ki ka somo ki no suke =an h_ine,"
276,True,12,2,11,11,0,,,"nen ka i= sisitomare hene ki ka somo ki p ne kus,"
277,True,7,2,6,6,0,,,"suke =an h_ine ukasuy ipe =an tek,"
278,True,11,2,10,10,0,,,"esir ka a= ki hine ora ekimne hine isam ruwe ne."""
279,True,6,2,5,5,0,,,"sekor hawean =an ruwe ne akus,"
280,True,5,2,4,4,0,,,nea okkaypo ene hawean h_i.
281,True,8,2,7,7,0,,,"""Yupet emko kor nispa a= ona an h_ine"
282,True,12,2,11,11,0,,,"a= yupihi tun an, a= turesi tun an h_ine oka =an wa,"
283,True,11,2,10,10,0,,,a= ponturesihi ne ene iki wa isam h_i ka a= erampewtek.
284,True,5,2,4,4,0,,,orowano a= hunara yakka wen.
285,True,8,2,7,7,0,,,"ora seta poronno okay pe ne a p,"
286,True,11,2,10,10,0,,,"oro ta hure poro seta a= kor pe ne a p,"
287,True,5,2,4,4,0,,,konto seta utar wenkoykikar wa
288,True,13,2,12,12,0,,,"sorekusu kasi ta seta utar arukoterke eukaopiwki kor okay pe ne a p,"
289,True,11,2,10,10,0,,,"konto eun arpa wa isam hi ka a= erampewtek ne awa,"
290,True,9,2,8,8,0,,,ne wen kamuy ne hawe ne nankor tak ...
291,True,7,2,6,6,0,,,"hetak e= suke wa ipe =an ciki,"
292,True,17,2,16,16,0,,,ora ipe =an ciki oraun e p or surku e= omare wa e= anu yak pirka na.
293,True,5,2,4,4,0,,,ora iwak ciki iteki ...
294,True,15,2,14,14,0,,,hokure hokure e= ipere hokure hokure ipe kunak e= ye kor ki yak pirka na.
295,True,16,2,15,15,0,,,ora toma tuna corpok ta i= ka seske wa anu ... e= anu yak pirka na.
296,True,15,2,14,14,0,,,sironuman wa nen ka ossike arka h_ene ki yakun oro ta a= eraman nankor kusu
297,True,10,2,9,9,0,,,"nen ka ne ciki ape e= ruyruyka p ne na."""
298,True,8,2,7,7,0,,,"sekor kane nea okkaypo hawean kor ipe hine,"
299,True,11,2,10,10,0,,,ora toma tuna corpok ta kasi a= seske hine an =an.
300,True,7,2,6,6,0,,,"rapokke iwak moyre, tanto or_ ta ki,"
301,True,8,2,7,7,0,,,"ipe =an pa si ... p ne kusu,"
302,True,10,2,9,9,0,,,"ora tanto or_ ta iwak moyre hine iwak ki kusu,"
303,True,9,2,8,8,0,,,"""kamuy a= yupihi mak ki hine enepo iwak moyre."
304,True,8,2,7,7,0,,,"iperusuy =an wa hoskino ipe =an ruwe ne."""
305,True,3,2,2,2,0,,,sekor hawean =an.
306,True,9,2,8,8,0,,,"earkinne a= eyaykopuntek pekor iki =an pe ne kusu,"
307,True,6,2,5,5,0,,,mina tura mono a hine ipe.
308,True,16,2,15,15,0,,,a= koypuni hine ipe hine sine itanki tu itanki ipe kor rapokke mak a= ye ...
309,True,5,2,4,4,0,,,"yayunnatarare wa an h_i kusu,"
310,True,9,2,8,8,0,,,"""kamuy a= yupi mak ki h_ine yayunnatarare ruwe an?"""
311,True,4,2,3,3,0,,,"sekor hawean =an akusu,"
312,True,9,2,8,8,0,,,"""mak ki a= ossike arka pekor humas wa ne."""
313,True,1,2,1,1,0,,,"sekor,"
314,True,8,2,7,7,0,,,"""nep ka pawci a= omare ka somo ki."
315,True,4,2,3,3,0,,,hinta pawci a= omare
316,True,13,2,12,12,0,,,"tane pakno a= yupi etok un suke =an wa ipe =an pa p,"
317,True,13,2,12,12,0,,,"hnta pawci a= omare hine mak ne hine ene ne hawean h_i an."""
318,True,3,2,2,2,0,,,sekor hawean =an.
319,True,9,2,8,8,0,,,"rapokke konto ape kohopi hokus h_ine hocikacika kor an,"
320,True,4,2,3,3,0,,,rapokke ape homar kor
321,True,6,2,5,5,0,,,poro hure seta sara a= nukar_
322,True,14,2,13,13,0,,,"rapokke nea okkaypo ani kik kuni, kisma hum pirkano an, an cikuni tuye hine"
323,True,6,2,5,5,0,,,"kor wa an pe ne kus,"
324,True,8,2,7,7,0,,,ani esapakokikkik hine kikkik hine rayke ruwe ne.
325,True,5,2,4,4,0,,,"kopasrota a kopasrota a sorekus,"
326,True,8,2,7,7,0,,,"""wen kewtum kor wen_ sampe kor_ reyep anakne,"
327,True,19,2,18,18,0,,,"reyep sekor a= ye p anakne sorekusu kamuy oyakata pase p ne ya ka ya ka a= ye p,"
328,True,5,2,4,4,0,,,"ene an wen puri kor."""
329,True,8,2,7,7,0,,,"sekor hawean kor kopasrota kor esoyne osura hine,"
330,True,13,2,12,12,0,,,"ora asirkinne suy su a= huraye h_ine suke =an h_ine ipe =an h_ine,"
331,True,6,2,5,5,0,,,"ora hotke =an pa ruwe ne,"
332,True,4,2,3,3,0,,,"h_ine wentarap =an akusu,"
333,True,10,2,9,9,0,,,ponpon okere hine iruska wa an h_ine ene hawean h_i.
334,True,13,2,12,12,0,,,"""tan pon menoko e= ne wa itak =an ciki e= nu katu anak."
335,True,4,2,3,3,0,,,oyaciki kamuy resu wa
336,True,12,2,11,11,0,,,"ohasir_ ta ciwente kotan or_ ta an pe e= ne aan h_ine,"
337,True,11,2,10,10,0,,,"ora Yupet emko kor_ nispa pon matnepo a= kateomare wa kusu,"
338,True,12,2,11,11,0,,,"neun a= ye yakka a= sinniwkeste a= ruska kusu a= rayke hine,"
339,True,9,2,8,8,0,,,"samam ni corpok a= omare ruwe ne a p,"
340,True,4,2,3,3,0,,,orano seta utar eramuoka.
341,True,10,2,9,9,0,,,"orano i= ka ta ukoyki pa, i= wenkoykikar pa wa,"
342,True,5,2,4,4,0,,,"an ka a= eaykap kusu,"
343,True,10,2,9,9,0,,,inkar =an akus e= an ruwe a= nukar h_i kusu
344,True,14,2,13,13,0,,,e= poro a= e= porore yak ora mat ne a= e= kor_ rusuy kusu
345,True,17,2,16,16,0,,,e= or_ ta an =an wa re pa ka e= ka a= oyki kor oka =an ayne
346,True,6,2,5,5,0,,,"tane e= poro ruwe ne yakun,"
347,True,10,2,9,9,0,,,"mat ne a= e= kor easkay kunak a= ramu kusu,"
348,True,10,2,9,9,0,,,"mat ne a= e= kor kuni a= e= ye korka,"
349,True,11,2,10,10,0,,,nen ka a= e= kar h_ene ki ka somo ki no
350,True,6,2,5,5,0,,,"e= nina kusu, e= ekimne akus"
351,True,7,2,6,6,0,,,"sorekusu kamuy i= koypak pe ne kusu,"
352,True,6,2,5,5,0,,,seta a= ne p ne kus
353,True,11,2,10,10,0,,,"e= ekari arpa =an wa a= e= sinetopanukare? ruwe ne hine,"
