line_no,is_ainu_line,num_tokens,num_pred_target,num_pred_non_target,non_target_labels_set,non_target_token_samples,text
14,False,8,6,2,ja,toittaraokaasangaotousanmoudekaketanowakattaraokaasankonnachikushoukonnamonoirutameninikumoiitokotaberenaisakanamoiitokotaberenaideottakaraimakarabaimootousaninaitokiumaitokosakanademonikudemotabeteyarukarasoshite || ninanimotabesasenaidejibunhitoridetabeteitandatte、okaasan、soshitaramounannichimootousan,sinen ne e kor an toittaraokaasangaotousanmoudekaketanowakattaraokaasankonnachikushoukonnamonoirutameninikumoiitokotaberenaisakanamoiitokotaberenaideottakaraimakarabaimootousaninaitokiumaitokosakanademonikudemotabeteyarukarasoshite horkew ninanimotabesasenaidejibunhitoridetabeteitandatte、okaasan、soshitaramounannichimootousan
15,False,6,5,1,ja,kaetsutekonaindatte,hosipi wa ek somo ki kaetsutekonaindatte
16,False,8,7,1,ja,toittara、hore、nanimotabenaikaraguaiwarukunattenanikashinisoudakaraokaasannomirarerutokoronishindehanarantoomotteomotenidetedokokaitteokaasannomienaitokonishinoutoomottedekakete,hotke =an pe ne kusu kemewen =an toittara、hore、nanimotabenaikaraguaiwarukunattenanikashinisoudakaraokaasannomirarerutokoronishindehanarantoomotteomotenidetedokokaitteokaasannomienaitokonishinoutoomottedekakete
17,False,9,8,1,ja,tteannanimoukumademomasare、kubinejittekoroshitedannaninanimokurouwokakenaidekumademoshikademokakutteitatoiuuwasasugoiyokattainu、inutoiukahorkewdaroukedo、deteainutachimitekondonakaheitsutsuteshimattano、,makanak ki wa sinen ne omanan siri an tteannanimoukumademomasare、kubinejittekoroshitedannaninanimokurouwokakenaidekumademoshikademokakutteitatoiuuwasasugoiyokattainu、inutoiukahorkewdaroukedo、deteainutachimitekondonakaheitsutsuteshimattano、
18,False,8,7,1,ja,ttarainunihoeraretano、sorede,suy kotan an w_a seta i= yemik ttarainunihoeraretano、sorede
19,False,5,2,3,ja,otokosannindetekite、 || hyoubannoyokatta || doushitehitoridearuiteirutoiuyounakotowoitte、,otokosannindetekite、 ene hyoubannoyokatta kamuy doushitehitoridearuiteirutoiuyounakotowoitte、
20,False,11,10,1,ja,ttefutsukakamikkatomatteikebaiinonittesonosannindetaainunonakadehitorigotottakedokiitafurishinaidemataitta。,tutko rerko i= kosini yan i= korewsi yak pirka p ttefutsukakamikkatomatteikebaiinonittesonosannindetaainunonakadehitorigotottakedokiitafurishinaidemataitta。
21,False,13,11,2,ja,soushitara || toittarakawanoshiri,soushitara pet put toittarakawanoshiri pet put an noyne siran w_a arpa =an akusu
22,False,9,8,1,ja,sono、souimasokoittatokoroniittarashujingaomotekaranankayattesotoniyatteitejibungaittara、haa、annanihyoubanyokattakamisamadoushitehitoridearuiteirunda。ieniitsutsuteyasundekure、tomattekurettesouittakara、ma…,nani puyar kari terke =an w_a ahun =an sono、souimasokoittatokoroniittarashujingaomotekaranankayattesotoniyatteitejibungaittara、haa、annanihyoubanyokattakamisamadoushitehitoridearuiteirunda。ieniitsutsuteyasundekure、tomattekurettesouittakara、ma…
23,False,5,4,1,ja,toiunohamadokaratondeiesaitsutsutandatte,puyar kari terke =an toiunohamadokaratondeiesaitsutsutandatte
24,False,8,5,3,ja,toittara、washijibunitterukeredosono || ttedonnamonokattewakaranaindawa。 || toiukarayappariainunoandamonnorippanamondeshou。,okitarunpe toittara、washijibunitterukeredosono okitarunpe ttedonnamonokattewakaranaindawa。 okitarunpe so kar toiukarayappariainunoandamonnorippanamondeshou。
25,False,11,7,4,ja,tteittara、sokonoieniiteshujingasukoshiyasundeittaratomatte || ittaratteittakarasokodemadokaratondeitsutsuteyasundeottarakondo || ippaininikunoiiyatsusakananoiiyatsu || niippaiiretemottekitejibunnosobaheoitekuretakaratabetarasugokukimochiyokute,a= e akusu a= esanpesituriri tteittara、sokonoieniiteshujingasukoshiyasundeittaratomatte ittaratteittakarasokodemadokaratondeitsutsuteyasundeottarakondo patci ippaininikunoiiyatsusakananoiiyatsu patci niippaiiretemottekitejibunnosobaheoitekuretakaratabetarasugokukimochiyokute
26,False,3,2,1,ja,nisannichisokonimataneteyasundeotte、ttarasukkarikaradaguaiyokunattandatte,tutko rerko nisannichisokonimataneteyasundeotte、ttarasukkarikaradaguaiyokunattandatte
27,False,3,1,2,ja,soshiteiruuchini、dakara、haa、sokonoshujinga || shitaratsureteikoutoomotteitara,soshiteiruuchini、dakara、haa、sokonoshujinga ekimne shitaratsureteikoutoomotteitara
28,False,15,11,4,ja,tuhot || tuhot || toittaraosuinuganijuppikimesuinunijuppikitsuretesokonoshujingamataginiikundatte、souiunowokiitakedojibunmoikoutoomottetano、asaninattaramouittaittatoiuhanashikiitebikkurishitematamadokaratondeittetenochibotteittarasuguoitsuiteisshoniitteisshoniittakedosakiniittemataookinakamuinokubi || otsutesonoshujinnotokohematsuteottara,cise kor kur ekimne kusu arpa akusu pinne cucu tuhot matne cucu tuhot toittaraosuinuganijuppikimesuinunijuppikitsuretesokonoshujingamataginiikundatte、souiunowokiitakedojibunmoikoutoomottetano、asaninattaramouittaittatoiuhanashikiitebikkurishitematamadokaratondeittetenochibotteittarasuguoitsuiteisshoniitteisshoniittakedosakiniittemataookinakamuinokubi otsutesonoshujinnotokohematsuteottara
29,False,3,2,1,ja,kite、yoro…,kite、yoro… eyaykopuntek wa
30,False,3,1,2,ja,kumakakuttarasokodekouyattekouyatteyarumonrashiindawaainuha || shite、soshite,kumakakuttarasokodekouyattekouyatteyarumonrashiindawaainuha onkami shite、soshite
31,False,12,8,4,ja,ttara、jibunnootousan || karakaetsutekitakedosono || oranmondakaragakkarishitenanimookiterarenkunatte、neteorunowomietatte。soudakarakouiukouiukotookaasangashiteijiwarushitejibunniikatsutenanimokuwasetekurenakattakarajibunhaokaasannomierutokoronishindehanarantoomotteshinitaitsumoridearuiteitaraninnihirowaretekouiukouiuninnotokoroniorukaratoiukotowootousanniyumewomirasetandatte。soushitarakondootousannanika || chokkoriseotsutejibunnotakaramonodeoreishiyoutoomotteseotsutekite、,at ... siyoka un inkar =an ttara、jibunnootousan uymam karakaetsutekitakedosono horkew oranmondakaragakkarishitenanimookiterarenkunatte、neteorunowomietatte。soudakarakouiukouiukotookaasangashiteijiwarushitejibunniikatsutenanimokuwasetekurenakattakarajibunhaokaasannomierutokoronishindehanarantoomotteshinitaitsumoridearuiteitaraninnihirowaretekouiukouiuninnotokoroniorukaratoiukotowootousanniyumewomirasetandatte。soushitarakondootousannanika  chokkoriseotsutejibunnotakaramonodeoreishiyoutoomotteseotsutekite、
32,False,13,8,5,ja,nanikachottomonoseotsuteotousangamukaenikitandattesoredekondosono || gatomattesewaninattetatokononinto || shite || toittaraotagainiainunoaisatsukouyattekorega || toiuno,hemanta p se kane nanikachottomonoseotsuteotousangamukaenikitandattesoredekondosono horkew gatomattesewaninattetatokononinto onkami shite ukoonkami toittaraotagainiainunoaisatsukouyattekorega ukoonkami toiuno
33,False,5,4,1,ja,kumamainichikakutteisshokenmeishibarakuotousansankoukandemotaberuyounitakusanatsumete,tu sumawe re sumawe kumamainichikakutteisshokenmeishibarakuotousansankoukandemotaberuyounitakusanatsumete
34,False,4,2,2,ja,soredakarakondosono || jibunnokamisamanokuninikaetsutawake、sorenano。soshite、,soredakarakondosono horkew kamuy jibunnokamisamanokuninikaetsutawake、sorenano。soshite、
35,False,5,4,1,ja,tteotousangakawaisoudakedootousannimookusangasouiuijiwarushitandekondookaasantataitekoroshiteyattenagetano。mukashinoninhamou、mukashihaninwokoroshitattetsuminimonarankaraheikidesouiukotoshitamondabesamina。soredakara、,a= onaha a= erampokiwen tteotousangakawaisoudakedootousannimookusangasouiuijiwarushitandekondookaasantataitekoroshiteyattenagetano。mukashinoninhamou、mukashihaninwokoroshitattetsuminimonarankaraheikidesouiukotoshitamondabesamina。soredakara、
36,False,6,5,1,ja,maaotousangakawaisoudakeredo、jibunmokamisamanokuninikaeranakyanarankarajibunnomokamisamanokunihekaerukaratteotousanoitekaetsuteittatte。,a= hoppa wa kamuy kotan maaotousangakawaisoudakeredo、jibunmokamisamanokuninikaeranakyanarankarajibunnomokamisamanokunihekaerukaratteotousanoitekaetsuteittatte。
37,False,10,9,1,ja,noshabettakotonandatte。,sono horkew kamuy noshabettakotonandatte。 horkew kamuy isoytak ruwe ne sekor
38,False,6,5,1,ja,tteittara、kou、kounatteitaumihakounarumatakounaru,wa kanna atuy a= poknare tteittara、kou、kounatteitaumihakounarumatakounaru
39,False,9,8,1,ja,chuusaasuttoitteshimatte,a= ponsara a= suye kor suy rep ... chuusaasuttoitteshimatte
40,False,13,8,5,hi|ja,saraha || shipponobosakouagetarikousagetarikouyatteuekoushippokou || toiukouyatteshippofurutonandemojibunnoomottayouninarukara || Okikurmi || nimokyoukashitewaratsuteyousuwomite,a= saraha a= riknasuye a= ranasuye shipponobosakouagetarikousagetarikouyatteuekoushippokou a= suye toiukouyatteshippofurutonandemojibunnoomottayouninarukara Okikurmi Samayunkur nimokyoukashitewaratsuteyousuwomite
41,False,9,8,1,ja,「hadakaninattakemonaikitsune、sorekosowaruiseishinwaruikarasounatteirumondakara」souyatteikarareteikararete、ee,wen cironnup e= ne ruwe ne kusu eramuan” 「hadakaninattakemonaikitsune、sorekosowaruiseishinwaruikarasounatteirumondakara」souyatteikarareteikararete、ee
42,False,12,9,3,ja,hi || sitoma || okkanaitoomowanaidewaratsuteitara,“nep e= ye hi ka ku= sitoma ka somo ki no” okkanaitoomowanaidewaratsuteitara
43,False,9,8,1,ja,mouainunokotobakanishitarakounarundakaraomaetachimouzettaisonnakotoshinaideainunoiukotokikinasaitte、souittekitsuneshindeshimattandatte、soredakeda。,"sekor, wen cironnup hawean kor ray wa isam mouainunokotobakanishitarakounarundakaraomaetachimouzettaisonnakotoshinaideainunoiukotokikinasaitte、souittekitsuneshindeshimattandatte、soredakeda。"
44,False,16,14,2,ja,arutokorone、 || ne、arutokoroni,"arutokorone、 kamuy yukar ne、arutokoroni makanak ne wa sine menoko ne an w_a, an pe a= ne"
45,False,6,5,1,ja,nanttarana、,"kamuy opitta, ye, nanttarana、 wa, kusu,"
