line_no,is_ainu_line,num_tokens,ngram_size,num_ngrams,num_pred_target_ngrams,num_pred_non_target_ngrams,non_target_labels_set,non_target_ngram_samples,text
14,False,8,2,7,4,3,ja,an toittaraokaasangaotousanmoudekaketanowakattaraokaasankonnachikushoukonnamonoirutameninikumoiitokotaberenaisakanamoiitokotaberenaideottakaraimakarabaimootousaninaitokiumaitokosakanademonikudemotabeteyarukarasoshite || toittaraokaasangaotousanmoudekaketanowakattaraokaasankonnachikushoukonnamonoirutameninikumoiitokotaberenaisakanamoiitokotaberenaideottakaraimakarabaimootousaninaitokiumaitokosakanademonikudemotabeteyarukarasoshite horkew || horkew ninanimotabesasenaidejibunhitoridetabeteitandatte、okaasan、soshitaramounannichimootousan,sinen ne e kor an toittaraokaasangaotousanmoudekaketanowakattaraokaasankonnachikushoukonnamonoirutameninikumoiitokotaberenaisakanamoiitokotaberenaideottakaraimakarabaimootousaninaitokiumaitokosakanademonikudemotabeteyarukarasoshite horkew ninanimotabesasenaidejibunhitoridetabeteitandatte、okaasan、soshitaramounannichimootousan
15,False,6,2,5,4,1,ja,ki kaetsutekonaindatte,hosipi wa ek somo ki kaetsutekonaindatte
16,False,8,2,7,6,1,ja,=an toittara、hore、nanimotabenaikaraguaiwarukunattenanikashinisoudakaraokaasannomirarerutokoronishindehanarantoomotteomotenidetedokokaitteokaasannomienaitokonishinoutoomottedekakete,hotke =an pe ne kusu kemewen =an toittara、hore、nanimotabenaikaraguaiwarukunattenanikashinisoudakaraokaasannomirarerutokoronishindehanarantoomotteomotenidetedokokaitteokaasannomienaitokonishinoutoomottedekakete
17,False,9,2,8,7,1,ja,an tteannanimoukumademomasare、kubinejittekoroshitedannaninanimokurouwokakenaidekumademoshikademokakutteitatoiuuwasasugoiyokattainu、inutoiukahorkewdaroukedo、deteainutachimitekondonakaheitsutsuteshimattano、,makanak ki wa sinen ne omanan siri an tteannanimoukumademomasare、kubinejittekoroshitedannaninanimokurouwokakenaidekumademoshikademokakutteitatoiuuwasasugoiyokattainu、inutoiukahorkewdaroukedo、deteainutachimitekondonakaheitsutsuteshimattano、
18,False,8,2,7,6,1,ja,yemik ttarainunihoeraretano、sorede,suy kotan an w_a seta i= yemik ttarainunihoeraretano、sorede
19,False,5,2,4,2,2,ja,otokosannindetekite、 ene || kamuy doushitehitoridearuiteirutoiuyounakotowoitte、,otokosannindetekite、 ene hyoubannoyokatta kamuy doushitehitoridearuiteirutoiuyounakotowoitte、
20,False,11,2,10,9,1,ja,p ttefutsukakamikkatomatteikebaiinonittesonosannindetaainunonakadehitorigotottakedokiitafurishinaidemataitta。,tutko rerko i= kosini yan i= korewsi yak pirka p ttefutsukakamikkatomatteikebaiinonittesonosannindetaainunonakadehitorigotottakedokiitafurishinaidemataitta。
21,False,13,2,12,9,3,ja,soushitara pet || put toittarakawanoshiri || toittarakawanoshiri pet,soushitara pet put toittarakawanoshiri pet put an noyne siran w_a arpa =an akusu
22,False,9,2,8,7,1,ja,=an sono、souimasokoittatokoroniittarashujingaomotekaranankayattesotoniyatteitejibungaittara、haa、annanihyoubanyokattakamisamadoushitehitoridearuiteirunda。ieniitsutsuteyasundekure、tomattekurettesouittakara、ma…,nani puyar kari terke =an w_a ahun =an sono、souimasokoittatokoroniittarashujingaomotekaranankayattesotoniyatteitejibungaittara、haa、annanihyoubanyokattakamisamadoushitehitoridearuiteirunda。ieniitsutsuteyasundekure、tomattekurettesouittakara、ma…
23,False,5,2,4,3,1,ja,=an toiunohamadokaratondeiesaitsutsutandatte,puyar kari terke =an toiunohamadokaratondeiesaitsutsutandatte
24,False,8,2,7,2,5,ja,okitarunpe toittara、washijibunitterukeredosono || toittara、washijibunitterukeredosono okitarunpe || okitarunpe ttedonnamonokattewakaranaindawa。 || ttedonnamonokattewakaranaindawa。 okitarunpe || kar toiukarayappariainunoandamonnorippanamondeshou。,okitarunpe toittara、washijibunitterukeredosono okitarunpe ttedonnamonokattewakaranaindawa。 okitarunpe so kar toiukarayappariainunoandamonnorippanamondeshou。
25,False,11,2,10,4,6,ja,esanpesituriri tteittara、sokonoieniiteshujingasukoshiyasundeittaratomatte || tteittara、sokonoieniiteshujingasukoshiyasundeittaratomatte ittaratteittakarasokodemadokaratondeitsutsuteyasundeottarakondo || ittaratteittakarasokodemadokaratondeitsutsuteyasundeottarakondo patci || patci ippaininikunoiiyatsusakananoiiyatsu || ippaininikunoiiyatsusakananoiiyatsu patci,a= e akusu a= esanpesituriri tteittara、sokonoieniiteshujingasukoshiyasundeittaratomatte ittaratteittakarasokodemadokaratondeitsutsuteyasundeottarakondo patci ippaininikunoiiyatsusakananoiiyatsu patci niippaiiretemottekitejibunnosobaheoitekuretakaratabetarasugokukimochiyokute
26,False,3,2,2,1,1,ja,rerko nisannichisokonimataneteyasundeotte、ttarasukkarikaradaguaiyokunattandatte,tutko rerko nisannichisokonimataneteyasundeotte、ttarasukkarikaradaguaiyokunattandatte
27,False,3,2,2,0,2,ja,soshiteiruuchini、dakara、haa、sokonoshujinga ekimne || ekimne shitaratsureteikoutoomotteitara,soshiteiruuchini、dakara、haa、sokonoshujinga ekimne shitaratsureteikoutoomotteitara
28,False,15,2,14,12,2,ja,tuhot toittaraosuinuganijuppikimesuinunijuppikitsuretesokonoshujingamataginiikundatte、souiunowokiitakedojibunmoikoutoomottetano、asaninattaramouittaittatoiuhanashikiitebikkurishitematamadokaratondeittetenochibotteittarasuguoitsuiteisshoniitteisshoniittakedosakiniittemataookinakamuinokubi || toittaraosuinuganijuppikimesuinunijuppikitsuretesokonoshujingamataginiikundatte、souiunowokiitakedojibunmoikoutoomottetano、asaninattaramouittaittatoiuhanashikiitebikkurishitematamadokaratondeittetenochibotteittarasuguoitsuiteisshoniitteisshoniittakedosakiniittemataookinakamuinokubi otsutesonoshujinnotokohematsuteottara,cise kor kur ekimne kusu arpa akusu pinne cucu tuhot matne cucu tuhot toittaraosuinuganijuppikimesuinunijuppikitsuretesokonoshujingamataginiikundatte、souiunowokiitakedojibunmoikoutoomottetano、asaninattaramouittaittatoiuhanashikiitebikkurishitematamadokaratondeittetenochibotteittarasuguoitsuiteisshoniitteisshoniittakedosakiniittemataookinakamuinokubi otsutesonoshujinnotokohematsuteottara
29,True,3,2,2,2,0,,,kite、yoro… eyaykopuntek wa
30,False,3,2,2,0,2,ja,kumakakuttarasokodekouyattekouyatteyarumonrashiindawaainuha onkami || onkami shite、soshite,kumakakuttarasokodekouyattekouyatteyarumonrashiindawaainuha onkami shite、soshite
31,False,12,2,11,5,6,ja,=an ttara、jibunnootousan || ttara、jibunnootousan uymam || uymam karakaetsutekitakedosono || karakaetsutekitakedosono horkew || horkew oranmondakaragakkarishitenanimookiterarenkunatte、neteorunowomietatte。soudakarakouiukouiukotookaasangashiteijiwarushitejibunniikatsutenanimokuwasetekurenakattakarajibunhaokaasannomierutokoronishindehanarantoomotteshinitaitsumoridearuiteitaraninnihirowaretekouiukouiuninnotokoroniorukaratoiukotowootousanniyumewomirasetandatte。soushitarakondootousannanika,at ... siyoka un inkar =an ttara、jibunnootousan uymam karakaetsutekitakedosono horkew oranmondakaragakkarishitenanimookiterarenkunatte、neteorunowomietatte。soudakarakouiukouiukotookaasangashiteijiwarushitejibunniikatsutenanimokuwasetekurenakattakarajibunhaokaasannomierutokoronishindehanarantoomotteshinitaitsumoridearuiteitaraninnihirowaretekouiukouiuninnotokoroniorukaratoiukotowootousanniyumewomirasetandatte。soushitarakondootousannanika  chokkoriseotsutejibunnotakaramonodeoreishiyoutoomotteseotsutekite、
32,False,13,2,12,4,8,ja,kane nanikachottomonoseotsuteotousangamukaenikitandattesoredekondosono || nanikachottomonoseotsuteotousangamukaenikitandattesoredekondosono horkew || horkew gatomattesewaninattetatokononinto || gatomattesewaninattetatokononinto onkami || onkami shite,hemanta p se kane nanikachottomonoseotsuteotousangamukaenikitandattesoredekondosono horkew gatomattesewaninattetatokononinto onkami shite ukoonkami toittaraotagainiainunoaisatsukouyattekorega ukoonkami toiuno
33,False,5,2,4,3,1,ja,sumawe kumamainichikakutteisshokenmeishibarakuotousansankoukandemotaberuyounitakusanatsumete,tu sumawe re sumawe kumamainichikakutteisshokenmeishibarakuotousansankoukandemotaberuyounitakusanatsumete
34,False,4,2,3,2,1,ja,kamuy jibunnokamisamanokuninikaetsutawake、sorenano。soshite、,soredakarakondosono horkew kamuy jibunnokamisamanokuninikaetsutawake、sorenano。soshite、
35,False,5,2,4,3,1,ja,erampokiwen tteotousangakawaisoudakedootousannimookusangasouiuijiwarushitandekondookaasantataitekoroshiteyattenagetano。mukashinoninhamou、mukashihaninwokoroshitattetsuminimonarankaraheikidesouiukotoshitamondabesamina。soredakara、,a= onaha a= erampokiwen tteotousangakawaisoudakedootousannimookusangasouiuijiwarushitandekondookaasantataitekoroshiteyattenagetano。mukashinoninhamou、mukashihaninwokoroshitattetsuminimonarankaraheikidesouiukotoshitamondabesamina。soredakara、
36,False,6,2,5,4,1,ja,kotan maaotousangakawaisoudakeredo、jibunmokamisamanokuninikaeranakyanarankarajibunnomokamisamanokunihekaerukaratteotousanoitekaetsuteittatte。,a= hoppa wa kamuy kotan maaotousangakawaisoudakeredo、jibunmokamisamanokuninikaeranakyanarankarajibunnomokamisamanokunihekaerukaratteotousanoitekaetsuteittatte。
37,False,10,2,9,7,2,ja,kamuy noshabettakotonandatte。 || noshabettakotonandatte。 horkew,sono horkew kamuy noshabettakotonandatte。 horkew kamuy isoytak ruwe ne sekor
38,False,6,2,5,4,1,ja,poknare tteittara、kou、kounatteitaumihakounarumatakounaru,wa kanna atuy a= poknare tteittara、kou、kounatteitaumihakounarumatakounaru
39,False,9,2,8,7,1,ja,... chuusaasuttoitteshimatte,a= ponsara a= suye kor suy rep ... chuusaasuttoitteshimatte
40,False,13,2,12,7,5,ja,ranasuye shipponobosakouagetarikousagetarikouyatteuekoushippokou || shipponobosakouagetarikousagetarikouyatteuekoushippokou a= || suye toiukouyatteshippofurutonandemojibunnoomottayouninarukara || toiukouyatteshippofurutonandemojibunnoomottayouninarukara Okikurmi || Samayunkur nimokyoukashitewaratsuteyousuwomite,a= saraha a= riknasuye a= ranasuye shipponobosakouagetarikousagetarikouyatteuekoushippokou a= suye toiukouyatteshippofurutonandemojibunnoomottayouninarukara Okikurmi Samayunkur nimokyoukashitewaratsuteyousuwomite
41,False,9,2,8,7,1,ja,eramuan” 「hadakaninattakemonaikitsune、sorekosowaruiseishinwaruikarasounatteirumondakara」souyatteikarareteikararete、ee,wen cironnup e= ne ruwe ne kusu eramuan” 「hadakaninattakemonaikitsune、sorekosowaruiseishinwaruikarasounatteirumondakara」souyatteikarareteikararete、ee
42,False,12,2,11,10,1,ja,no” okkanaitoomowanaidewaratsuteitara,“nep e= ye hi ka ku= sitoma ka somo ki no” okkanaitoomowanaidewaratsuteitara
43,False,9,2,8,7,1,ja,isam mouainunokotobakanishitarakounarundakaraomaetachimouzettaisonnakotoshinaideainunoiukotokikinasaitte、souittekitsuneshindeshimattandatte、soredakeda。,"sekor, wen cironnup hawean kor ray wa isam mouainunokotobakanishitarakounarundakaraomaetachimouzettaisonnakotoshinaideainunoiukotokikinasaitte、souittekitsuneshindeshimattandatte、soredakeda。"
44,True,16,2,15,15,0,,,"arutokorone、 kamuy yukar ne、arutokoroni makanak ne wa sine menoko ne an w_a, an pe a= ne"
45,True,6,2,5,5,0,,,"kamuy opitta, ye, nanttarana、 wa, kusu,"
